Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,GS Fem pg,GS Male pg,GS Sex Unknown pg,GS data? Y/N,GS Female Mb,GS Male Mb
male heterogametic,,,,,,,Y,211.8,210.2
male heterogametic,,,,,,,Y,203.1,202
male heterogametic,,,,,,,Y,221.8,221.1
male heterogametic,,,,,,,Y,265.2,262.9
Neo,,,,,,,Y,215.9,220.6
male heterogametic,,,,,,,Y,242.4,245.7
male heterogametic,,,,,,,Y,165.7,165.6
male heterogametic,,,,,,,Y,224.6,237.3
male heterogametic,,,,,,,Y,271.9,255.6
male heterogametic,,,,,,,Y,190.6,185.9
male heterogametic,,,,,,,Y,218.7,213.42
male heterogametic,,,,,,,Y,188,184.3
male heterogametic,,,,,,,Y,186.3,173.2
male heterogametic,,,,,,,Y,219.1,212.1
male heterogametic,,,,,,,Y,214.7,212.2
male heterogametic,,,,,,,Y,240.3,233.3
male heterogametic,,,,,,,Y,221.1,219.8
male heterogametic,,,,,,,Y,181.1,186.4
male heterogametic,,,,,,,Y,286.1,287
male heterogametic,,,,,,,Y,179.2,171.2
male heterogametic,,,,,,,Y,215.7,212.5
male heterogametic,,,,,,,Y,291.3,286.1
NA,,,,,,,Y,184.4,184.5
male heterogametic,,,,,,,Y,330.9,325
male heterogametic,,,,,,,Y,261.8,260.4
male heterogametic,,,,,,,Y,162.8,142.3
Neo,,,,,,,Y,134.7,136.5
NA,,,,,,,Y,201.7,201.8
male heterogametic,,,,,,,Y,208.1,184.8
male heterogametic,,,,,,,Y,205.2,194.2
male heterogametic,,,,,,,Y,202.2,192.2
male heterogametic,,,,,,,Y,179,168.7
male heterogametic,,,,,,,Y,205.9,203.4
Neo,,,,,,,Y,211.9,199.6
male heterogametic,,,,,,,Y,197.1,167.7
Neo,,,,,,,Y,180.8,161.3
male heterogametic,,,,,,,Y,188.4,176.5
male heterogametic,,,,,,,Y,210.6,196.2
male heterogametic,,,,,,,Y,254.4,248.4
male heterogametic,,,,,,,Y,252.1,248.4
male heterogametic,,,,,,,Y,256.7,252.4
male heterogametic,,,,,,,Y,237.2,211.2
male heterogametic,,,,,,,Y,248.6,230.7
male heterogametic,,,,,,,Y,256.8,246
NA,,,,,,,Y,211.5,200.8
NA,,,,,,,Y,297.4,280.4
male heterogametic,,,,,,,Y,279.2,273.6
male heterogametic,,,,,,,Y,191.2,190.4
male heterogametic,,,,,,,Y,262.2,256.2
male heterogametic,,,,,,,Y,289.6,279.2
male heterogametic,,,,,,,Y,245,226.6
male heterogametic,,,,,,,Y,219.7,220.6
NA,,,,,,,Y,273.2,270.4
male heterogametic,,,,,,,Y,226,221.1
male heterogametic,,,,,,,Y,224.8,211.5
male heterogametic,,,,,,,Y,249.1,245.3
male heterogametic,,,,,,,Y,244.1,236.7
